name,version,install_command,release_date,release_year,old_version,old_release_date,old_release_year,url,documentation
esp-idf-size,0.4.2,pip install esp-idf-size,2023-08-15,2023,0.1.0,2023-01-13,2023,https://pypi.org/project/esp-idf-size/,
prophecy-libs,1.6,pip install prophecy-libs,2023-08-09,2023,0.1,2022-05-09,2022,https://pypi.org/project/prophecy-libs/,
scikit-base,0.5.1,pip install scikit-base,2023-08-15,2023,0.3.0,2023-04-18,2023,https://pypi.org/project/scikit-base/,https://skbase.readthedocs.io/en/latest/index.html
accessible-pygments,0.0.4,pip install accessible-pygments,2023-03-22,2023,0.0.1,2022-10-06,2022,https://pypi.org/project/accessible-pygments/,
virtualenvwrapper,4.8.4,pip install virtualenvwrapper,2019-02-09,2019,0.0.0,2023-02-11,2023,https://pypi.org/project/virtualenvwrapper/,
pdbp,1.4.6,pip install pdbp,2023-08-13,2023,0.1.0,2022-11-28,2022,https://pypi.org/project/pdbp/,
morefs,0.1.2,pip install morefs,2023-04-07,2023,0.0.1,2022-07-08,2022,https://pypi.org/project/morefs/,
tensorrt,8.6.1,pip install tensorrt,2023-05-03,2023,0.0.1.dev5,2022-04-19,2022,https://pypi.org/project/tensorrt/,
dynamicprompts,0.29.0,pip install dynamicprompts,2023-07-18,2023,0.1.0,2023-01-03,2023,https://pypi.org/project/dynamicprompts/,
tabcompleter,1.2.1,pip install tabcompleter,2023-06-22,2023,0.1.0,2022-11-28,2022,https://pypi.org/project/tabcompleter/,
tf-nightly,2.15.0.dev20230821,pip install tf-nightly,2023-08-21,2023,2.14.0.dev20230523,2023-05-23,2023,https://pypi.org/project/tf-nightly/,
supervision,0.13.0,pip install supervision,2023-08-08,2023,0.1.0,2023-01-19,2023,https://pypi.org/project/supervision/,https://supervision.roboflow.com/
dvc-data,2.15.1,pip install dvc-data,2023-08-17,2023,0.0.1,2022-05-20,2022,https://pypi.org/project/dvc-data/,
openai-whisper,20230314,pip install openai-whisper,2023-03-15,2023,20230117,2023-01-18,2023,https://pypi.org/project/openai-whisper/,
python-tools-scripts,0.17.0,pip install python-tools-scripts,2023-06-05,2023,0.9.0rc1,2022-09-22,2022,https://pypi.org/project/python-tools-scripts/,
anthropic,0.3.10,pip install anthropic,2023-08-16,2023,0.2.2,2023-02-09,2023,https://pypi.org/project/anthropic/,
pynose,1.4.8,pip install pynose,2023-08-06,2023,1.3.8,2023-02-27,2023,https://pypi.org/project/pynose/,
hierarchical-conf,1.0.3,pip install hierarchical-conf,2023-06-14,2023,1.0.0,2022-08-15,2022,https://pypi.org/project/hierarchical-conf/,
dvc-objects,1.0.1,pip install dvc-objects,2023-08-21,2023,0.0.1,2022-05-20,2022,https://pypi.org/project/dvc-objects/,
customtkinter,5.2.0,pip install customtkinter,2023-06-19,2023,0.0.0,2023-05-05,2023,https://pypi.org/project/customtkinter/,
linear-operator,0.5.1,pip install linear-operator,2023-08-01,2023,0.1.0,2022-08-11,2022,https://pypi.org/project/linear-operator/,https://linear-operator.readthedocs.io/en/latest/index.html
lion-pytorch,0.1.2,pip install lion-pytorch,2023-05-10,2023,0.0.1,2023-02-15,2023,https://pypi.org/project/lion-pytorch/,
mongo-tooling-metrics,1.0.8,pip install mongo-tooling-metrics,2023-06-01,2023,0.0.5,2023-01-09,2023,https://pypi.org/project/mongo-tooling-metrics/,
apeye-core,1.1.4,pip install apeye-core,2023-06-01,2023,0.1.0,2022-06-03,2022,https://pypi.org/project/apeye-core/,
mltable,1.5.0,pip install mltable,2023-08-15,2023,0.1.0b1,2022-05-17,2022,https://pypi.org/project/mltable/,
compel,2.0.2,pip install compel,2023-08-20,2023,0.1.0,2023-01-26,2023,https://pypi.org/project/compel/,
Farama-Notifications,0.0.4,pip install Farama-Notifications,2023-02-27,2023,0.0.1,2023-02-20,2023,https://pypi.org/project/Farama-Notifications/,
dvc-studio-client,0.13.0,pip install dvc-studio-client,2023-08-08,2023,0.1.0,2022-12-16,2022,https://pypi.org/project/dvc-studio-client/,
pydantic-extra-types,2.0.0,pip install pydantic-extra-types,2023-06-30,2023,0.0.1,2023-02-06,2023,https://pypi.org/project/pydantic-extra-types/,
google-cloud-run,0.9.1,pip install google-cloud-run,2023-08-03,2023,0.1.0,2022-04-04,2022,https://pypi.org/project/google-cloud-run/,
memray,1.9.1,pip install memray,2023-08-01,2023,1.0.0,2022-04-09,2022,https://pypi.org/project/memray/,
dadaptation,3.1,pip install dadaptation,2023-05-25,2023,1.1,2023-01-20,2023,https://pypi.org/project/dadaptation/,
py-serializable,0.12.0,pip install py-serializable,2023-03-07,2023,0.1.0,2022-08-10,2022,https://pypi.org/project/py-serializable/,
auto-gptq,0.3.2,pip install auto-gptq,2023-07-26,2023,0.0.4,2023-04-26,2023,https://pypi.org/project/auto-gptq/,
mongo-ninja-python,1.11.1.5,pip install mongo-ninja-python,2023-06-01,2023,0.0.0.1,2023-01-10,2023,https://pypi.org/project/mongo-ninja-python/,
types-pyasn1,0.4.0.6,pip install types-pyasn1,2023-07-20,2023,0.4.0.0,2023-01-06,2023,https://pypi.org/project/types-pyasn1/,
faster-whisper,0.7.1,pip install faster-whisper,2023-07-24,2023,0.2.0,2023-03-22,2023,https://pypi.org/project/faster-whisper/,
iterative-telemetry,0.0.8,pip install iterative-telemetry,2023-03-16,2023,0.0.0,2022-05-26,2022,https://pypi.org/project/iterative-telemetry/,
mmengine,0.8.4,pip install mmengine,2023-08-03,2023,0.0.1rc0,2022-07-18,2022,https://pypi.org/project/mmengine/,https://mmengine.readthedocs.io/en/latest/
