cookiecutter,2.3.0,pip install cookiecutter,2023-08-03,2023,0.1,2013-07-14,2013,https://pypi.org/project/cookiecutter/,
coverage,7.3.0,pip install coverage,2023-08-12,2023,2.5,2005-12-06,2005,https://pypi.org/project/coverage/,
dnspython,2.4.2,pip install dnspython,2023-08-09,2023,1.0.0,2003-06-30,2003,https://pypi.org/project/dnspython/,
glue-core,1.13.1,pip install glue-core,2023-08-17,2023,0.10.1,2017-03-16,2017,https://pypi.org/project/glue-core/,
mypy,1.5.1,pip install mypy,2023-08-16,2023,0.1,2009-09-08,2009,https://pypi.org/project/mypy/,
pomegranate,1.0.2,pip install pomegranate,2023-08-15,2023,0.0.1,2014-11-24,2014,https://pypi.org/project/pomegranate/,
petl,1.7.13,pip install petl,2023-08-16,2023,0.2,2011-12-01,2011,https://pypi.org/project/petl/,
Protego,0.3.0,pip install Protego,2023-08-09,2023,0.1.dev0,2019-07-18,2019,https://pypi.org/project/Protego/,
PyHive,0.7.0,pip install PyHive,2023-08-17,2023,0.1.0,2014-03-29,2014,https://pypi.org/project/PyHive/,
pytest-doctestplus,1.0.0,pip install pytest-doctestplus,2023-08-11,2023,0.1.0,2017-10-10,2017,https://pypi.org/project/pytest-doctestplus/,
python-engineio,4.6.0,pip install python-engineio,2023-08-21,2023,0.1.0,2015-06-21,2015,https://pypi.org/project/python-engineio/,
Scrapy,2.10.0,pip install Scrapy,2023-08-04,2023,0.7,2010-01-20,2010,https://pypi.org/project/Scrapy/,
sh,2.0.6,pip install sh,2023-08-10,2023,0.01,2012-03-23,2012,https://pypi.org/project/sh/,
sip,6.7.11,pip install sip,2023-08-02,2023,4.18,2016-04-13,2016,https://pypi.org/project/sip/,
stripe,6.0.0,pip install stripe,2023-08-16,2023,1.5.0,2011-10-29,2011,https://pypi.org/project/stripe/,
traits,6.4.2,pip install traits,2023-08-07,2023,4.0.0,2011-06-21,2011,https://pypi.org/project/traits/,
w3lib,2.1.2,pip install w3lib,2023-08-03,2023,1,2011-04-16,2011,https://pypi.org/project/w3lib/,
CairoSVG,2.7.1,pip install CairoSVG,2023-08-05,2023,0.1,2011-12-13,2011,https://pypi.org/project/CairoSVG/,
awscli,1.29.30,pip install awscli,2023-08-18,2023,0.4.1,2012-12-21,2012,https://pypi.org/project/awscli/,
sagemaker,2.178.0,pip install sagemaker,2023-08-17,2023,1.0.0,2017-11-30,2017,https://pypi.org/project/sagemaker/,
azure-identity,1.14.0,pip install azure-identity,2023-08-09,2023,1.0.0b1,2019-06-28,2019,https://pypi.org/project/azure-identity/,
awswrangler,3.3.0,pip install awswrangler,2023-08-01,2023,0.0b0,2019-02-28,2019,https://pypi.org/project/awswrangler/,
poetry-core,1.7.0,pip install poetry-core,2023-08-20,2023,1.0.0a0,2020-02-07,2020,https://pypi.org/project/poetry-core/,
grpcio-tools,1.57.0,pip install grpcio-tools,2023-08-10,2023,0.14.0,2016-05-10,2016,https://pypi.org/project/grpcio-tools/,
cfn-lint,0.79.7,pip install cfn-lint,2023-08-14,2023,0.0.5,2018-04-17,2018,https://pypi.org/project/cfn-lint/,
trove-classifiers,2023.8.7,pip install trove-classifiers,2023-08-07,2023,2020.4.1,2020-04-03,2020,https://pypi.org/project/trove-classifiers/,
poetry,1.6.0,pip install poetry,2023-08-20,2023,0.1.0,2018-02-28,2018,https://pypi.org/project/poetry/,
shellingham,1.5.3,pip install shellingham,2023-08-17,2023,1.0.0.dev0,2018-06-14,2018,https://pypi.org/project/shellingham/,
google-cloud-secret-manager,2.16.3,pip install google-cloud-secret-manager,2023-08-03,2023,0.1.0,2019-12-20,2019,https://pypi.org/project/google-cloud-secret-manager/,
apache-airflow,2.7.0,pip install apache-airflow,2023-08-18,2023,1.8.1,2017-05-09,2017,https://pypi.org/project/apache-airflow/,
gremlinpython,3.7.0,pip install gremlinpython,2023-08-04,2023,3.2.2rc1,2016-09-11,2016,https://pypi.org/project/gremlinpython/,
aws-sam-translator,1.73.0,pip install aws-sam-translator,2023-08-10,2023,1.5.1,2018-04-18,2018,https://pypi.org/project/aws-sam-translator/,
PyGithub,1.59.1,pip install PyGithub,2023-08-03,2023,0.0.0,2017-04-02,2017,https://pypi.org/project/PyGithub/,
selenium,4.11.2,pip install selenium,2023-08-01,2023,0.9.2,2008-04-25,2008,https://pypi.org/project/selenium/,
pipenv,2023.8.20,pip install pipenv,2023-08-20,2023,0.1.0,2017-01-20,2017,https://pypi.org/project/pipenv/,
cfgv,3.4.0,pip install cfgv,2023-08-12,2023,0.0.1,2018-02-07,2018,https://pypi.org/project/cfgv/,
azure-mgmt-storage,21.1.0,pip install azure-mgmt-storage,2023-08-21,2023,0.20.0rc1,2015-08-24,2015,https://pypi.org/project/azure-mgmt-storage/,
Faker,19.3.0,pip install Faker,2023-08-07,2023,0.0.2,2010-12-23,2010,https://pypi.org/project/Faker/,
azure-eventhub,5.11.4,pip install azure-eventhub,2023-08-08,2023,0.2.0b1,2018-04-20,2018,https://pypi.org/project/azure-eventhub/,
azure-cosmos,4.5.0,pip install azure-cosmos,2023-08-09,2023,3.0.0,2018-09-21,2018,https://pypi.org/project/azure-cosmos/,
checkov,2.4.4,pip install checkov,2023-08-20,2023,0.0.0,2020-11-30,2020,https://pypi.org/project/checkov/,
databricks-sql-connector,2.9.2,pip install databricks-sql-connector,2023-08-18,2023,0.9.0,2021-08-05,2021,https://pypi.org/project/databricks-sql-connector/,
tb-nightly,2.15.0a20230820,pip install tb-nightly,2023-08-20,2023,0.4.0a0,2017-10-07,2017,https://pypi.org/project/tb-nightly/,
cog,0.8.6,pip install cog,2023-08-07,2023,0.0.3,2021-06-16,2021,https://pypi.org/project/cog/,
