package_name,version_x,version_y,version,summary_x,license_x,metadata_source_x,summary_y,license_y,metadata_source_y,download_count
google-auth,2.17.3,2.20.0,2.14.1,,,,Google Authentication Library,Apache 2.0,PyPI,81925006.0
google-auth-httplib2,0.1.0,0.1.0,,,,,Google Authentication Library: httplib2 transport,Apache 2.0,PyPI,23083646.0
google-auth-oauthlib,1.0.0,1.0.0,,,,,,,,30767420.0
google-cloud-bigquery,3.10.0,2.34.4,,,,,Google BigQuery API client library,Apache 2.0,PyPI,31408143.0
google-cloud-bigquery-connection,1.12.1,,,,,,,,,
google-cloud-bigquery-storage,2.22.0,,,,,,,,,18899908.0
google-cloud-core,2.3.3,2.3.2,2.3.2,,,,Google Cloud API client core library,Apache 2.0,PyPI,46192933.0
google-cloud-datastore,2.15.2,1.15.5,,,,,,,,3466817.0
google-cloud-firestore,2.11.1,,,,,,,,,6467118.0
google-cloud-functions,1.13.2,,,,,,,,,87974.0
google-cloud-language,2.9.1,2.10.1,,,,,,,,1751324.0
google-cloud-storage,2.8.0,1.44.0,2.5.0,,,,Google Cloud Storage API client library,Apache 2.0,PyPI,44335112.0
google-cloud-translate,3.11.3,3.11.2,,,,,,,,1147199.0
google-colab,1.0.0,,,,,,,,,
google-crc32c,1.5.0,1.5.0,1.5.0,,,,,,,27096540.0
google-pasta,0.2.0,0.2.0,,,,,pasta is an AST-based Python refactoring library,Apache 2.0,PyPI,12320271.0
google-resumable-media,2.5.0,2.5.0,2.3.3,,,,Utilities for Google Media Downloads and Resumable Uploads,Apache 2.0,PyPI,37810503.0
googleapis-common-protos,1.60.0,1.59.1,1.56.4,,,,Common protobufs used in Google APIs,Apache-2.0,PyPI,89365479.0
googledrivedownloader,0.4,,,,,,,,,
graphviz,0.20.1,0.20.1,,Open Source graph visualization software.,EPL-1.0,Anaconda,,,,7374020.0
greenlet,2.0.2,2.0.2,,Lightweight in-process concurrent programming,MIT,Anaconda,,,,58849752.0
grpc-google-iam-v1,0.12.6,0.12.6,0.12.4,,,,,,,12394101.0
grpcio,1.57.0,1.56.0,1.54.2,,,,HTTP/2-based RPC framework,Apache License 2.0,PyPI,60685816.0
grpcio-status,1.48.2,1.48.2,1.48.2,,,,,,,114660295.0
